PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
27219464,A practical guide to the oral microbiome and its relation to health and disease,"Krishnan K, Chen T, Paster BJ.",Oral Dis. 2017 Apr;23(3):276-286. doi: 10.1111/odi.12509. Epub 2016 Jul 4.,Krishnan K,Oral Dis,2017,2016/05/25,PMC5122475,NIHMS790093,10.1111/odi.12509
26852737,COPD and the microbiome,"Mammen MJ, Sethi S.",Respirology. 2016 May;21(4):590-9. doi: 10.1111/resp.12732. Epub 2016 Jan 27.,Mammen MJ,Respirology,2016,2016/02/09,,,10.1111/resp.12732
26527186,The Microbiome and the Respiratory Tract,"Dickson RP, Erb-Downward JR, Martinez FJ, Huffnagle GB.",Annu Rev Physiol. 2016;78:481-504. doi: 10.1146/annurev-physiol-021115-105238. Epub 2015 Nov 2.,Dickson RP,Annu Rev Physiol,2016,2015/11/04,PMC4751994,NIHMS756902,10.1146/annurev-physiol-021115-105238
26821151,The microbiome and atopic eczema: More than skin deep,"Thomas CL, Fernández-Peñas P.",Australas J Dermatol. 2017 Feb;58(1):18-24. doi: 10.1111/ajd.12435. Epub 2016 Jan 28.,Thomas CL,Australas J Dermatol,2017,2016/01/29,,,10.1111/ajd.12435
24848255,The placenta harbors a unique microbiome,"Aagaard K, Ma J, Antony KM, Ganu R, Petrosino J, Versalovic J.",Sci Transl Med. 2014 May 21;6(237):237ra65. doi: 10.1126/scitranslmed.3008599.,Aagaard K,Sci Transl Med,2014,2014/05/23,PMC4929217,NIHMS796070,10.1126/scitranslmed.3008599
24560869,The microbiome in inflammatory bowel disease: current status and the future ahead,"Kostic AD, Xavier RJ, Gevers D.",Gastroenterology. 2014 May;146(6):1489-99. doi: 10.1053/j.gastro.2014.02.009. Epub 2014 Feb 19.,Kostic AD,Gastroenterology,2014,2014/02/25,PMC4034132,NIHMS580479,10.1053/j.gastro.2014.02.009
27292825,Early-life gut microbiome composition and milk allergy resolution,"Bunyavanich S, Shen N, Grishin A, Wood R, Burks W, Dawson P, Jones SM, Leung DYM, Sampson H, Sicherer S, Clemente JC.",J Allergy Clin Immunol. 2016 Oct;138(4):1122-1130. doi: 10.1016/j.jaci.2016.03.041. Epub 2016 May 10.,Bunyavanich S,J Allergy Clin Immunol,2016,2016/06/14,PMC5056801,NIHMS785598,10.1016/j.jaci.2016.03.041
26718401,Analysis of the microbiome: Advantages of whole genome shotgun versus 16S amplicon sequencing,"Ranjan R, Rani A, Metwally A, McGee HS, Perkins DL.",Biochem Biophys Res Commun. 2016 Jan 22;469(4):967-77. doi: 10.1016/j.bbrc.2015.12.083. Epub 2015 Dec 22.,Ranjan R,Biochem Biophys Res Commun,2016,2016/01/01,PMC4830092,NIHMS748176,10.1016/j.bbrc.2015.12.083
27735094,"Microbiome in healthy skin, update for dermatologists","Dréno B, Araviiskaia E, Berardesca E, Gontijo G, Sanchez Viera M, Xiang LF, Martin R, Bieber T.",J Eur Acad Dermatol Venereol. 2016 Dec;30(12):2038-2047. doi: 10.1111/jdv.13965. Epub 2016 Oct 13.,Dréno B,J Eur Acad Dermatol Venereol,2016,2016/10/14,PMC6084363,,10.1111/jdv.13965
25022563,Structure and functions of the gut microbiome,"Panda S, Guarner F, Manichanh C.",Endocr Metab Immune Disord Drug Targets. 2014;14(4):290-9. doi: 10.2174/1871530314666140714120744.,Panda S,Endocr Metab Immune Disord Drug Targets,2014,2014/07/16,,,10.2174/1871530314666140714120744
28033066,"Clinical, Immune, and Microbiome Traits of Gingivitis and Peri-implant Mucositis","Schincaglia GP, Hong BY, Rosania A, Barasz J, Thompson A, Sobue T, Panagakos F, Burleson JA, Dongari-Bagtzoglou A, Diaz PI.",J Dent Res. 2017 Jan;96(1):47-55. doi: 10.1177/0022034516668847. Epub 2016 Oct 8.,Schincaglia GP,J Dent Res,2017,2016/12/30,,,10.1177/0022034516668847
27559681,Microbiome in the pathogenesis of cystic fibrosis and lung transplant-related disease,"Cribbs SK, Beck JM.",Transl Res. 2017 Jan;179:84-96. doi: 10.1016/j.trsl.2016.07.022. Epub 2016 Aug 4.,Cribbs SK,Transl Res,2017,2016/08/26,,,10.1016/j.trsl.2016.07.022
27513210,High-resolution characterization of the human microbiome,"Noecker C, McNally CP, Eng A, Borenstein E.",Transl Res. 2017 Jan;179:7-23. doi: 10.1016/j.trsl.2016.07.012. Epub 2016 Jul 25.,Noecker C,Transl Res,2017,2016/08/12,PMC5164958,NIHMS811770,10.1016/j.trsl.2016.07.012
26633628,Disentangling type 2 diabetes and metformin treatment signatures in the human gut microbiota,"Forslund K, Hildebrand F, Nielsen T, Falony G, Le Chatelier E, Sunagawa S, Prifti E, Vieira-Silva S, Gudmundsdottir V, Pedersen HK, Arumugam M, Kristiansen K, Voigt AY, Vestergaard H, Hercog R, Costea PI, Kultima JR, Li J, Jørgensen T, Levenez F, Dore J; MetaHIT consortium, Nielsen HB, Brunak S, Raes J, Hansen T, Wang J, Ehrlich SD, Bork P, Pedersen O.",Nature. 2015 Dec 10;528(7581):262-266. doi: 10.1038/nature15766. Epub 2015 Dec 2.,Forslund K,Nature,2015,2015/12/04,PMC4681099,EMS65452,10.1038/nature15766
25476529,Gut microbiota are related to Parkinson's disease and clinical phenotype,"Scheperjans F, Aho V, Pereira PA, Koskinen K, Paulin L, Pekkonen E, Haapaniemi E, Kaakkola S, Eerola-Rautio J, Pohja M, Kinnunen E, Murros K, Auvinen P.",Mov Disord. 2015 Mar;30(3):350-8. doi: 10.1002/mds.26069. Epub 2014 Dec 5.,Scheperjans F,Mov Disord,2015,2014/12/06,,,10.1002/mds.26069
25006228,The female urinary microbiome: a comparison of women with and without urgency urinary incontinence,"Pearce MM, Hilt EE, Rosenfeld AB, Zilliox MJ, Thomas-White K, Fok C, Kliethermes S, Schreckenberger PC, Brubaker L, Gai X, Wolfe AJ.",mBio. 2014 Jul 8;5(4):e01283-14. doi: 10.1128/mBio.01283-14.,Pearce MM,mBio,2014,2014/07/10,PMC4161260,,10.1128/mBio.01283-14
27243592,Analysis and Interpretation of the Human Microbiome,"Ashton JJ, Beattie RM, Ennis S, Cleary DW.",Inflamm Bowel Dis. 2016 Jul;22(7):1713-22. doi: 10.1097/MIB.0000000000000809.,Ashton JJ,Inflamm Bowel Dis,2016,2016/06/01,,,10.1097/MIB.0000000000000809
25211668,Associations of the fecal microbiome with urinary estrogens and estrogen metabolites in postmenopausal women,"Fuhrman BJ, Feigelson HS, Flores R, Gail MH, Xu X, Ravel J, Goedert JJ.",J Clin Endocrinol Metab. 2014 Dec;99(12):4632-40. doi: 10.1210/jc.2014-2222.,Fuhrman BJ,J Clin Endocrinol Metab,2014,2014/09/12,PMC4255131,,10.1210/jc.2014-2222
27698616,Human Microbiota and Ophthalmic Disease,"Lu LJ, Liu J.",Yale J Biol Med. 2016 Sep 30;89(3):325-330. eCollection 2016 Sep.,Lu LJ,Yale J Biol Med,2016,2016/10/05,PMC5045141,,
25242582,The human microbiome and the great obstetrical syndromes: a new frontier in maternal-fetal medicine,Solt I.,Best Pract Res Clin Obstet Gynaecol. 2015 Feb;29(2):165-75. doi: 10.1016/j.bpobgyn.2014.04.024. Epub 2014 Aug 21.,Solt I,Best Pract Res Clin Obstet Gynaecol,2015,2014/09/23,,,10.1016/j.bpobgyn.2014.04.024
27512653,Does the Urinary Microbiome Play a Role in Urgency Urinary Incontinence and Its Severity?,"Karstens L, Asquith M, Davin S, Stauffer P, Fair D, Gregory WT, Rosenbaum JT, McWeeney SK, Nardos R.",Front Cell Infect Microbiol. 2016 Jul 27;6:78. doi: 10.3389/fcimb.2016.00078. eCollection 2016.,Karstens L,Front Cell Infect Microbiol,2016,2016/08/12,PMC4961701,,10.3389/fcimb.2016.00078
27255738,"Compositional data analysis of the microbiome: fundamentals, tools, and challenges","Tsilimigras MC, Fodor AA.",Ann Epidemiol. 2016 May;26(5):330-5. doi: 10.1016/j.annepidem.2016.03.002. Epub 2016 Mar 31.,Tsilimigras MC,Ann Epidemiol,2016,2016/06/04,,,10.1016/j.annepidem.2016.03.002
27121074,Mechanistic and Technical Challenges in Studying the Human Microbiome and Cancer Epidemiology,Verma M.,Technol Cancer Res Treat. 2017 Apr;16(2):150-158. doi: 10.1177/1533034616645219. Epub 2016 Jun 22.,Verma M,Technol Cancer Res Treat,2017,2016/04/29,PMC5616027,,10.1177/1533034616645219
27245597,Microbial Ecology of the Human Skin,Cundell AM.,Microb Ecol. 2018 Jul;76(1):113-120. doi: 10.1007/s00248-016-0789-6. Epub 2016 May 31.,Cundell AM,Microb Ecol,2018,2016/06/02,,,10.1007/s00248-016-0789-6
25102857,Phylogenetics and the human microbiome,Matsen FA 4th.,Syst Biol. 2015 Jan;64(1):e26-41. doi: 10.1093/sysbio/syu053. Epub 2014 Aug 7.,Matsen FA 4th,Syst Biol,2015,2014/08/09,PMC4265140,,10.1093/sysbio/syu053
27543211,Cutaneous microbiome effects of fluticasone propionate cream and adjunctive bleach baths in childhood atopic dermatitis,"Gonzalez ME, Schaffer JV, Orlow SJ, Gao Z, Li H, Alekseyenko AV, Blaser MJ.",J Am Acad Dermatol. 2016 Sep;75(3):481-493.e8. doi: 10.1016/j.jaad.2016.04.066.,Gonzalez ME,J Am Acad Dermatol,2016,2016/08/21,PMC4992571,NIHMS786014,10.1016/j.jaad.2016.04.066
26547201,Endometrial microbiome at the time of embryo transfer: next-generation sequencing of the 16S ribosomal subunit,"Franasiak JM, Werner MD, Juneau CR, Tao X, Landis J, Zhan Y, Treff NR, Scott RT.",J Assist Reprod Genet. 2016 Jan;33(1):129-36. doi: 10.1007/s10815-015-0614-z. Epub 2015 Nov 7.,Franasiak JM,J Assist Reprod Genet,2016,2015/11/09,PMC4717132,,10.1007/s10815-015-0614-z
26867525,Microbiome of the paranasal sinuses: Update and literature review,"Lee JT, Frank DN, Ramakrishnan V.",Am J Rhinol Allergy. 2016 Jan-Feb;30(1):3-16. doi: 10.2500/ajra.2016.30.4255.,Lee JT,Am J Rhinol Allergy,2016,2016/02/13,PMC5517778,,10.2500/ajra.2016.30.4255
27514154,Subgingival Microbiome Shifts and Community Dynamics in Periodontal Diseases,"Diaz PI, Hoare A, Hong BY.",J Calif Dent Assoc. 2016 Jul;44(7):421-35.,Diaz PI,J Calif Dent Assoc,2016,2016/08/13,,,
24739969,Dynamics and associations of microbial community types across the human body,"Ding T, Schloss PD.",Nature. 2014 May 15;509(7500):357-60. doi: 10.1038/nature13178. Epub 2014 Apr 16.,Ding T,Nature,2014,2014/04/18,PMC4139711,NIHMS594242,10.1038/nature13178
26362739,The intestinal microbiome in human disease and how it relates to arthritis and spondyloarthritis,"Costello ME, Robinson PC, Benham H, Brown MA.",Best Pract Res Clin Rheumatol. 2015 Apr;29(2):202-12. doi: 10.1016/j.berh.2015.08.001. Epub 2015 Aug 17.,Costello ME,Best Pract Res Clin Rheumatol,2015,2015/09/13,,,10.1016/j.berh.2015.08.001
27578328,Gut microbiome and dietary patterns in different Saudi populations and monkeys,"Angelakis E, Yasir M, Bachar D, Azhar EI, Lagier JC, Bibi F, Jiman-Fatani AA, Alawi M, Bakarman MA, Robert C, Raoult D.",Sci Rep. 2016 Aug 31;6:32191. doi: 10.1038/srep32191.,Angelakis E,Sci Rep,2016,2016/09/01,PMC5006041,,10.1038/srep32191
24413286,Arsenic exposure perturbs the gut microbiome and its metabolic profile in mice: an integrated metagenomics and metabolomics analysis,"Lu K, Abo RP, Schlieper KA, Graffam ME, Levine S, Wishnok JS, Swenberg JA, Tannenbaum SR, Fox JG.",Environ Health Perspect. 2014 Mar;122(3):284-91. doi: 10.1289/ehp.1307429. Epub 2014 Jan 10.,Lu K,Environ Health Perspect,2014,2014/01/14,PMC3948040,,10.1289/ehp.1307429
