PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"28843021","The nasal and gut microbiome in Parkinson's disease and idiopathic rapid eye movement sleep behavior disorder","Heintz-Buschart A, Pandey U, Wicke T, Sixel-Döring F, Janzen A, Sittig-Wiegand E, Trenkwalder C, Oertel WH, Mollenhauer B, Wilmes P.","Mov Disord. 2018 Jan;33(1):88-98. doi: 10.1002/mds.27105. Epub 2017 Aug 26.","Heintz-Buschart A","Mov Disord","2018","2017/08/27","PMC5811909","","10.1002/mds.27105"
"29056429","Three-Dimensional Microbiome and Metabolome Cartography of a Diseased Human Lung","Garg N, Wang M, Hyde E, da Silva RR, Melnik AV, Protsyuk I, Bouslimani A, Lim YW, Wong R, Humphrey G, Ackermann G, Spivey T, Brouha SS, Bandeira N, Lin GY, Rohwer F, Conrad DJ, Alexandrov T, Knight R, Dorrestein PC.","Cell Host Microbe. 2017 Nov 8;22(5):705-716.e4. doi: 10.1016/j.chom.2017.10.001. Epub 2017 Oct 19.","Garg N","Cell Host Microbe","2017","2017/10/24","PMC6267898","NIHMS914038","10.1016/j.chom.2017.10.001"
"28538949","The Follicular Skin Microbiome in Patients With Hidradenitis Suppurativa and Healthy Controls","Ring HC, Thorsen J, Saunte DM, Lilje B, Bay L, Riis PT, Larsen N, Andersen LO, Nielsen HV, Miller IM, Bjarnsholt T, Fuursted K, Jemec GB.","JAMA Dermatol. 2017 Sep 1;153(9):897-905. doi: 10.1001/jamadermatol.2017.0904.","Ring HC","JAMA Dermatol","2017","2017/05/25","PMC5710430","","10.1001/jamadermatol.2017.0904"
"30558669","Signatures within the esophageal microbiome are associated with host genetics, age, and disease","Deshpande NP, Riordan SM, Castaño-Rodríguez N, Wilkins MR, Kaakoush NO.","Microbiome. 2018 Dec 17;6(1):227. doi: 10.1186/s40168-018-0611-4.","Deshpande NP","Microbiome","2018","2018/12/19","PMC6297961","","10.1186/s40168-018-0611-4"
"29178920","The gut mycobiome of the Human Microbiome Project healthy cohort","Nash AK, Auchtung TA, Wong MC, Smith DP, Gesell JR, Ross MC, Stewart CJ, Metcalf GA, Muzny DM, Gibbs RA, Ajami NJ, Petrosino JF.","Microbiome. 2017 Nov 25;5(1):153. doi: 10.1186/s40168-017-0373-4.","Nash AK","Microbiome","2017","2017/11/28","PMC5702186","","10.1186/s40168-017-0373-4"
"30335763","Uncovering vector, parasite, blood meal and microbiome patterns from mixed-DNA specimens of the Chagas disease vector Triatoma dimidiata","Orantes LC, Monroy C, Dorn PL, Stevens L, Rizzo DM, Morrissey L, Hanley JP, Rodas AG, Richards B, Wallin KF, Helms Cahan S.","PLoS Negl Trop Dis. 2018 Oct 18;12(10):e0006730. doi: 10.1371/journal.pntd.0006730. eCollection 2018 Oct.","Orantes LC","PLoS Negl Trop Dis","2018","2018/10/19","PMC6193617","","10.1371/journal.pntd.0006730"
"31272480","The human gallbladder microbiome is related to the physiological state and the biliary metabolic profile","Molinero N, Ruiz L, Milani C, Gutiérrez-Díaz I, Sánchez B, Mangifesta M, Segura J, Cambero I, Campelo AB, García-Bernardo CM, Cabrera A, Rodríguez JI, González S, Rodríguez JM, Ventura M, Delgado S, Margolles A.","Microbiome. 2019 Jul 4;7(1):100. doi: 10.1186/s40168-019-0712-8.","Molinero N","Microbiome","2019","2019/07/06","PMC6610825","","10.1186/s40168-019-0712-8"
"28837002","Early gut mycobiota and mother-offspring transfer","Schei K, Avershina E, Øien T, Rudi K, Follestad T, Salamati S, Ødegård RA.","Microbiome. 2017 Aug 24;5(1):107. doi: 10.1186/s40168-017-0319-x.","Schei K","Microbiome","2017","2017/08/25","PMC5571498","","10.1186/s40168-017-0319-x"
"29600282","Investigating Colonization of the Healthy Adult Gastrointestinal Tract by Fungi","Auchtung TA, Fofanova TY, Stewart CJ, Nash AK, Wong MC, Gesell JR, Auchtung JM, Ajami NJ, Petrosino JF.","mSphere. 2018 Mar 28;3(2):e00092-18. doi: 10.1128/mSphere.00092-18. eCollection 2018 Mar-Apr.","Auchtung TA","mSphere","2018","2018/03/31","PMC5874442","","10.1128/mSphere.00092-18"
"22757649","A comparison of the microbiome and the metabolome of different regions of the equine hindgut","Dougal K, Harris PA, Edwards A, Pachebat JA, Blackmore TM, Worgan HJ, Newbold CJ.","FEMS Microbiol Ecol. 2012 Dec;82(3):642-52. doi: 10.1111/j.1574-6941.2012.01441.x. Epub 2012 Jul 23.","Dougal K","FEMS Microbiol Ecol","2012","2012/07/05","","","10.1111/j.1574-6941.2012.01441.x"
"29880655","Immunological corollary of the pulmonary mycobiome in bronchiectasis: the CAMEB study","Mac Aogáin M, Chandrasekaran R, Lim AYH, Low TB, Tan GL, Hassan T, Ong TH, Hui Qi Ng A, Bertrand D, Koh JY, Pang SL, Lee ZY, Gwee XW, Martinus C, Sio YY, Matta SA, Chew FT, Keir HR, Connolly JE, Abisheganaden JA, Koh MS, Nagarajan N, Chalmers JD, Chotirmall SH.","Eur Respir J. 2018 Jul 27;52(1):1800766. doi: 10.1183/13993003.00766-2018. Print 2018 Jul.","Mac Aogáin M","Eur Respir J","2018","2018/06/09","PMC6092680","","10.1183/13993003.00766-2018"
