PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31160269","The gut microbiome and epilepsy","Dahlin M, Prast-Nielsen S.","EBioMedicine. 2019 Jun;44:741-746. doi: 10.1016/j.ebiom.2019.05.024. Epub 2019 May 31.","Dahlin M","EBioMedicine","2019","2019/06/05","PMC6604367","","10.1016/j.ebiom.2019.05.024"
"31059117","The early years of life. Are they influenced by our microbiome?","Jagodzinski A, Zielinska E, Laczmanski L, Hirnle L.","Ginekol Pol. 2019;90(4):228-232. doi: 10.5603/GP.2019.0041.","Jagodzinski A","Ginekol Pol","2019","2019/05/07","","","10.5603/GP.2019.0041"
"28843021","The nasal and gut microbiome in Parkinson's disease and idiopathic rapid eye movement sleep behavior disorder","Heintz-Buschart A, Pandey U, Wicke T, Sixel-Döring F, Janzen A, Sittig-Wiegand E, Trenkwalder C, Oertel WH, Mollenhauer B, Wilmes P.","Mov Disord. 2018 Jan;33(1):88-98. doi: 10.1002/mds.27105. Epub 2017 Aug 26.","Heintz-Buschart A","Mov Disord","2018","2017/08/27","PMC5811909","","10.1002/mds.27105"
"31160598","Sex-specific association between gut microbiome and fat distribution","Min Y, Ma X, Sankaran K, Ru Y, Chen L, Baiocchi M, Zhu S.","Nat Commun. 2019 Jun 3;10(1):2408. doi: 10.1038/s41467-019-10440-5.","Min Y","Nat Commun","2019","2019/06/05","PMC6546740","","10.1038/s41467-019-10440-5"
"29679417","A probiotic modulates the microbiome and immunity in multiple sclerosis","Tankou SK, Regev K, Healy BC, Tjon E, Laghi L, Cox LM, Kivisäkk P, Pierre IV, Hrishikesh L, Gandhi R, Cook S, Glanz B, Stankiewicz J, Weiner HL.","Ann Neurol. 2018 Jun;83(6):1147-1161. doi: 10.1002/ana.25244. Epub 2018 Jun 8.","Tankou SK","Ann Neurol","2018","2018/04/22","PMC6181139","NIHMS975663","10.1002/ana.25244"
"30831575","Immunomodulatory potential of gut microbiome-derived short-chain fatty acids (SCFAs)","Ratajczak W, Rył A, Mizerski A, Walczakiewicz K, Sipak O, Laszczyńska M.","Acta Biochim Pol. 2019 Mar 4;66(1):1-12. doi: 10.18388/abp.2018_2648.","Ratajczak W","Acta Biochim Pol","2019","2019/03/05","","","10.18388/abp.2018_2648"
"31122279","The skin microbiome of vertebrates","Ross AA, Rodrigues Hoffmann A, Neufeld JD.","Microbiome. 2019 May 23;7(1):79. doi: 10.1186/s40168-019-0694-6.","Ross AA","Microbiome","2019","2019/05/25","PMC6533770","","10.1186/s40168-019-0694-6"
"30815250","Microbiota profiling with long amplicons using Nanopore sequencing: full-length 16S rRNA gene and the 16S-ITS-23S of the  rrn operon","Cuscó A, Catozzi C, Viñes J, Sanchez A, Francino O.","Version 2. F1000Res. 2018 Nov 6;7:1755. doi: 10.12688/f1000research.16817.2. eCollection 2018.","Cuscó A","F1000Res","2018","2019/08/24","PMC6372929","","10.12688/f1000research.16817.2"
"29327043","Association of Oral Microbiome With Risk for Incident Head and Neck Squamous Cell Cancer","Hayes RB, Ahn J, Fan X, Peters BA, Ma Y, Yang L, Agalliu I, Burk RD, Ganly I, Purdue MP, Freedman ND, Gapstur SM, Pei Z.","JAMA Oncol. 2018 Mar 1;4(3):358-365. doi: 10.1001/jamaoncol.2017.4777.","Hayes RB","JAMA Oncol","2018","2018/01/13","PMC5885828","","10.1001/jamaoncol.2017.4777"
"29427429","The Madness of Microbiome: Attempting To Find Consensus ""Best Practice"" for 16S Microbiome Studies","Pollock J, Glendinning L, Wisedchanwet T, Watson M.","Appl Environ Microbiol. 2018 Mar 19;84(7):e02627-17. doi: 10.1128/AEM.02627-17. Print 2018 Apr 1.","Pollock J","Appl Environ Microbiol","2018","2018/02/11","PMC5861821","","10.1128/AEM.02627-17"
"31489949","New and Preliminary Evidence on Altered Oral and Gut Microbiota in Individuals with Autism Spectrum Disorder (ASD): Implications for ASD Diagnosis and Subtyping Based on Microbial Biomarkers","Kong X, Liu J, Cetinbas M, Sadreyev R, Koh M, Huang H, Adeseye A, He P, Zhu J, Russell H, Hobbie C, Liu K, Onderdonk AB.","Nutrients. 2019 Sep 6;11(9):2128. doi: 10.3390/nu11092128.","Kong X","Nutrients","2019","2019/09/07","PMC6770733","","10.3390/nu11092128"
