"","year","journal","title","keywords","abstract"
"ISI:000495294900004","2019","MICROBIAL ECOLOGY","Fungal Community Composition and Potential Depth-Related Driving Factors   Impacting Distribution Pattern and Trophic Modes from Epi- to   Abyssopelagic Zones of the Western Pacific Ocean","Open sea; Depth; Mycobiome; Trophic mode; Metabarcoding DEEP-SEA SEDIMENTS; PROKARYOTIC DIVERSITY; BAYESIAN CLASSIFIER; MARINE   FUNGI; SEQUENCES; BACTERIAL; IDENTIFICATION; BIOGEOGRAPHY; MICROBES;   REVEALS ;","Fungi play an important role in cycling organic matter and nutrients in   marine ecosystems. However, the distribution of fungal communities in   the ocean, especially the vertical distribution along depth in the water   column, remained poorly understood. Here, we assess the depth-related   distribution pattern of fungal communities along the water column from   epi- to abyssopelagic zones of the Western Pacific Ocean using internal   transcribed spacer 2 (ITS2) metabarcoding. Majority of the assigned OTUs   were affiliated to Ascomycota, followed by three other minor phyla   (Basidiomycota, Chytridiomycota, and Mucoromycota). The epipelagic zone   harbored a higher OTU richness with distinct fungal communities as   compared with meso-, bathy-, and abyssopelagic zones. Across the whole   water column, depth appears as a key parameter for both fungal alpha-   and beta-diversity. However, when the dataset was split into the upper   (5-500 m) and deeper (below 500 m) layers, no significant correlation   was observed between depth and community compositions. In the upper   layer, temperature and dissolved oxygen were recognized as the primary   environmental factors shaping fungal alpha- and beta- diversity. By   parsing fungal OTUs into ecological categories, multi-trophic mode of   nutrition was found to be more prevalent with increasing depth,   suggesting a potential adaptation to the extreme conditions of the deep   sea. This study provides new and meaningful information on the   depth-stratified fungal diversity, community structure, and putative   ecological roles in the open sea."
"ISI:000494705300001","2019","GENOME BIOLOGY","Gut microbiome composition in the Hispanic Community Health Study/Study   of Latinos is shaped by geographic relocation, environmental factors,   and obesity","Microbiome; Epidemiology; Hispanic population; Mycobiome; Obesity DIVERSE BACKGROUNDS; SEDENTARY TIME; RISK-FACTORS; US; PREVALENCE;   DISEASE; HISPANICS/LATINOS; POPULATIONS; GREENGENES; SEQUENCES ;","Background: Hispanics living in the USA may have unrecognized potential   birthplace and lifestyle influences on the gut microbiome. We report a   cross-sectional analysis of 1674 participants from four centers of the   Hispanic Community Health Study/Study of Latinos (HCHS/SOL), aged 18 to   74 years old at recruitment. Results: Amplicon sequencing of 16S rRNA   gene V4 and fungal ITS1 fragments from self-collected stool samples   indicate that the host microbiome is determined by sociodemographic and   migration-related variables. Those who relocate from Latin America to   the USA at an early age have reductions in Prevotella to Bacteroides   ratios that persist across the life course. Shannon index of alpha   diversity in fungi and bacteria is low in those who relocate to the USA   in early life. In contrast, those who relocate to the USA during   adulthood, over 45 years old, have high bacterial and fungal diversity   and high Prevotella to Bacteroides ratios, compared to USA-born and   childhood arrivals. Low bacterial diversity is associated in turn with   obesity. Contrasting with prior studies, our study of the Latino   population shows increasing Prevotella to Bacteroides ratio with greater   obesity. Taxa within Acidaminococcus, Megasphaera, Ruminococcaceae,   Coriobacteriaceae, Clostridiales, Christensenellaceae, YS2   (Cyanobacteria), and Victivallaceae are significantly associated with   both obesity and earlier exposure to the USA, while Oscillospira and   Anaerotruncus show paradoxical associations with both obesity and   late-life introduction to the USA. Conclusions: Our analysis of the gut   microbiome of Latinos demonstrates unique features that might be   responsible for health disparities affecting Hispanics living in the   USA."
"ISI:000490946700017","2019","APPLIED AND ENVIRONMENTAL MICROBIOLOGY","The Inhalable Mycobiome of Sawmill Workers: Exposure Characterization   and Diversity","DNA metabarcoding; ITS2; fungal diversity; occupational; exposure   characterization SERUM IGG ANTIBODIES; AIRBORNE MICROORGANISMS; MICROBIAL COMMUNITIES;   ALLERGIC ALVEOLITIS; FUNGAL COMMUNITIES; WOOD TRIMMERS; MOLD SPORES;   DUST; BIOAEROSOLS; ASTHMA ;","Exposure to fungal spores has been associated with respiratory symptoms   and allergic alveolitis among sawmill workers, but the complexity of   sawmill workers' fungal exposure has been poorly studied. We   characterized the fungal diversity in air samples from sawmill workers'   breathing zones and identified differences in the richness, diversity,   and taxonomic composition between companies, departments, wood types,   and seasons. Full-shift personal inhalable dust samples (n = 86)   collected from 11 industrial sawmill, sorting mill, and planer mill   companies processing spruce and/or pine were subjected to DNA   metabarcoding using the fungal internal transcribed spacer (ITS) region   2. The workers were exposed to a higher total number of operational   taxonomic units (OTUs) in summer than in winter and when processing   spruce than when processing pine. Workers in the saw department had the   richest fungal exposure, followed by workers in the planing department   and sorting of dry timber department. Sawmills explained 11\% of the   variation in the fungal community composition of the exposure, followed   by season (5\%) and department (3\%). The fungal compositions of the   exposures also differed between seasons, sawmills, wood types, and   departments at the taxonomic level, ranging from the phylum to the   species level. The differences in exposure diversity suggest that the   potential health effects of fungal inhalation may also be different;   hence, a risk assessment based on the fungal diversity differences   should be performed. This study may serve as a basis for establishing a   fungal profile of signature species that are specific for sawmills and   that can be measured quantitatively in future risk assessments of   sawmill workers.   IMPORTANCE To gain more knowledge about exposure-response relationships,   it is important to improve exposure characterization by comprehensively   identifying the temporal and spatial fungal composition and diversity of   inhalable dust at workplaces. The variation in the diverse fungal   communities to which individuals are exposed in different seasons and   sawmills suggests that variations in exposure-related health effects   between seasons and companies can be expected. More importantly, the   distinct fungal profiles between departments across companies indicate   that workers in different job groups are differently exposed and that   health risks can be department specific. DNA metabarcoding provides   insight into a broad spectrum of airborne fungi that may serve as a   basis for obtaining important knowledge about the fungi to which workers   are exposed."
"ISI:000498822800023","2019","INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES","Optimisation and Benchmarking of Targeted Amplicon Sequencing for   Mycobiome Analysis of Respiratory Specimens","mycobiome; targeted amplicon sequencing; ITS; respiratory microbiome INTERNAL TRANSCRIBED SPACER; FUNGAL; MICROBIOME; IDENTIFICATION; REGION;   HEALTH ;","(1) Background: Firm consensus has yet to be established in relation to   taxonomic classification and primer choice in targeted amplicon   sequencing of the mycobiome. While the nuclear ribosomal internal   transcribed spacer (ITS) region are recognized as the formal fungal   taxonomic barcode, appraisal of different ITS sub-regions and the   influence of DNA extraction methods have not been comprehensively   undertaken using human respiratory specimens. (2) Methods: We performed   ITS analysis of respiratory (sputum) samples by assessing (a) the effect   of alternate DNA extraction techniques and (b) an evaluation of four   different ITS primer pairs (ITS1F and ITS2; ITS1-30F and ITS1-217R;   gITS7ngs and ITS4ng; and Fseq and Rseq) on the mycobiome profiles   generated for mock fungal communities and their respective clinical   (airway) specimens. (3) Results: Primer pairs varied in their resulting   ITS mycobiome profiles, suggesting that particular pairs may be more   relevant for analysis of respiratory samples compared to others.   Assessment of DNA extraction methods highlighted lower final DNA   concentrations achieved by mechanical disruption compared to enzymatic   lysis. However, despite lower yields, DNA liberated by mechanical lysis   more readily yielded ITS bands with highest success in combination with   the Fseq and Rseq primers. (4) Conclusion: Choice of extraction method,   primers used, and sequencing approach are all important considerations   in sequencing the mycobiome and should be tailored to sample type. A   standardization of approach to mycobiome studies using respiratory   specimens will permit more reliable comparisons between studies and   improve our understanding of the role of fungi in the human airway."
"ISI:000487576300017","2019","FUNGAL ECOLOGY","The needle mycobiome of Picea glauca - A dynamic system reflecting   surrounding environment and tree phenological traits"," PHYLLOSPHERE FUNGAL ASSEMBLAGES; ENDOPHYTIC FUNGI; COMMUNITY STRUCTURE;   PLANT; DIVERSITY; GROWTH; VARIABILITY; SEQUENCES; BACTERIAL; PHYLOGENY ;","Fungi play a crucial role in terrestrial Arctic ecosystems as symbionts   of vascular plants and nutrient recyclers in soil, with many species   persistently or temporarily inhabiting the phyllosphere of the   vegetation.   In this study we apply high-throughput sequencing to investigate the   mycobiome of 172 samples of fresh (current year) and aged (3 year old)   needles of Picea glauca from three sites over a distance of 500 km in   Alaska (USA). We analysed Illumina-generated ITS2 sequences to relate   mycobiome data with phenotypic tree traits, measures of genetic   variation and climate variables obtained from long-term monitoring of   the sites.   Alpha-diversity declined with increasing environmental stress/climate   harshness. Fungal communities differed in richness and taxonomic   composition between sites, with a pronounced difference in the relative   abundance of OTUs assigned to species of the rust genus Chrysomyxa,   plant pathogens which seem to have been in an outbreak at two sites at   the time of sampling.   Beside climate parameters, needle age was the second strongest   explanatory variable of the mycobiome composition, whereas we found no   effect of tree genetic variation, indicating that environmental and tree   trait specific variables mainly determined individual white spruce   mycobiomes at Alaska's treelines. (C) 2019 Elsevier Ltd and British   Mycological Society. All rights reserved."
"ISI:000484948600004","2019","FRONTIERS IN MICROBIOLOGY","A Metabarcoding Analysis of the Mycobiome of Wheat Ears Across a   Topographically Heterogeneous Field","Fusarium; microclimate; canopy; fungal community; Alternaria; spatially   induced variance FUSARIUM HEAD BLIGHT; BIOLOGICAL-CONTROL; ALTERNARIA MYCOTOXINS;   WINTER-WHEAT; GRAMINEARUM; FUTURE; PHYLLOSPHERE; MICROBIOME; PATTERNS;   CULMORUM ;","Plant associated microbial communities have recently received a lot of   attention because thought to play a fundamental role in plant health and   development. Focusing on cultivated crops, optimized farming practices   must consider the role of these communities when aiming at reducing the   impact of pathogens and increasing yields. Typical inhabitants of   plant's phyllosphere are bacteria and microscopic fungi, some of them   pathogenic for the plant and dangerous for the consumers, due to the   production of toxins. In order to efficiently manage the microbiome, the   natural drivers regulating community assembly must be clearly   understood. In our study we investigated the within field variation of   the phyllosphere mycobiome of wheat ears by metabarcoding of the fungal   internal transcribed sequence 1 (ITS1). We selected a field   characterized by a high topographic heterogeneity, which is reflected in   differences in plant productivity and fitness across it. Samples were   taken from 30 sampling points laid across the field where data-loggers   were placed, measuring the productivity driven under canopy   microclimate. The microclimatic conditions were tested as a source of   potential environmental variance. Further independent spatial structures   were tested using spatial eigenvector maps (MEMs). Results show   considerable differences in the phyllosphere composition across the   field. The local under canopy environmental conditions at each point   were strong predictors of the community composition. Independent spatial   effects given by the geographical position of the sampling points showed   also a weaker but significant effect. Moreover we observed different   spatial responses from different fungal phyla, with results resembling   those described in studies done at a regional scale. This study is the   first one to investigate the spatial variation of the phyllosphere   mycobiome of a commercial crop within the same field. It contributes to   the study of the epidemiology and community assembly dynamics of wheat   phyllosphere fungi, showing how in-field community variations are the   results of different environmental and spatial processes acting   simultaneously. It also shows how heterogeneous fields are a smart and   useful system to investigate the ecological mechanisms regulating plant   microbiome composition."
"ISI:000493915800082","2019","MBIO","Antibiotics and Host-Tailored Probiotics Similarly Modulate Effects on   the Developing Avian Microbiome, Mycobiome, and Host Gene Expression","antibiotic; bacteria; fungi; host; microbiota; poultry; probiotics GUT MICROBIOTA; PERFORMANCE; IDENTIFICATION; BACTERIA; PATHWAY; MODE ;","The microbiome is important to all animals, including poultry, playing a   critical role in health and performance. Low-dose antibiotics have   historically been used to modulate food production animals and their   microbiome. Identifying alternatives to antibiotics conferring similar   modulatory properties has been elusive. The purpose of this study was to   determine if a host-tailored probiotic could recapitulate effects of a   low-dose antibiotic on host response and the developing microbiome. Over   13 days of life, turkey poults were supplemented continuously with a   low-dose antibiotic or oral supplementation of a prebiotic with or   without two different probiotics (8 cage units, n = 80 per group).   Gastrointestinal bacterial and fungal communities of poults were   characterized by 16S rRNA gene and ITS2 amplicon sequencing. Localized   and systemic host gene expression was assessed using transcriptome   sequencing (RNA-Seq), kinase activity was assessed by avian-specific   kinome peptide arrays, and performance parameters were assessed. We   found that development of the early-life microbiome of turkey poults was   tightly ordered in a tissue- and time-specific manner. Low-dose   antibiotic and turkey-tailored probiotic supplementation, but not   nontailored probiotic supplementation, elicited similar shifts in   overall microbiome composition during development compared to controls.   Treatment-induced bacterial changes were accompanied by parallel shifts   in the fungal community and host gene expression and enhanced   performance metrics. These results were validated in pen trials that   identified further additive effects of the turkey-tailored probiotic   combined with different prebiotics. Alternative approaches to low-dose   antibiotic use in poultry are feasible and can be optimized utilizing   the indigenous poultry microbiome. Similar approaches may also be   beneficial for humans.   IMPORTANCE Alternative approaches are greatly needed to reduce the need   for antibiotic use in food animal production. This study utilized a   pipeline for the development of a host-tailored probiotic to enhance   performance in commercial turkeys and modulate their microbiota, similar   to the effects of low-dose antibiotic administration. We determined that   a host-tailored probiotic, developed in the context of the commercial   turkey gut microbiome, was more effective at modulating these parameters   than a nontailored probiotic cocktail. Furthermore, the host-tailored   probiotic mimicked many of the effects of a low-dose antibiotic growth   promoter. Surprisingly, the effects of the antibiotic growth promoter   and host-tailored probiotic were observed across kingdoms, illustrating   the coordinated interkingdom effects of these approaches. This work   suggests that tailored approaches to probiotic development hold promise   for modulating the avian host and its microbiota."
"ISI:000475796700001","2019","FRONTIERS IN MICROBIOLOGY","The Complex Essential Oils Highly Control the Toxigenic Fungal   Microbiome and Major Mycotoxins During Storage of Maize","fungal microbiome; mycobiome; mycotoxins; maize; ITS2 sequencing FUMONISIN B-1 PRODUCTION; FUSARIUM-GRAMINEARUM; ASPERGILLUS-FLAVUS;   GROWTH; AFLATOXINS; DIVERSITY; CINNAMON; WATER; CONTAMINATION;   COOCCURRENCE ;","The contamination of maize with fungi and subsequent mycotoxins is a   pivotal and long-standing safety concern in the maize industry. In this   study, the inhibitory effects of the complex essential oils   (cinnamaldehyde, citral, eugenol, and menthol, 3:3:2:2, v/v) on fungal   growth and mycotoxins production in stored maize were evaluated using   traditional plate counting, internal transcribed spacer 2 (ITS2)   sequencing and liquid chromatography-tandem mass spectrometry. Complex   essential oils (0.02\%) significantly (p < 0.05) reduced the total fungi   counts and the content of aflatoxin B-1, zearalenone, and deoxynivalenol   in stored maize during 12 months of storage, and were more effective   than propionic acid (0.2\%). The fungal diversity of the control group   was the highest with 113 operational taxonomic units. During storage of   maize kernels, Aspergillus, Fusarium, Wallemia, Sarocladium, and   Penicillium were main genera. At 0-6 months, the fungal diversity was   high and Fusarium was predominant genus. However, at 7-11 months, the   fungal diversity was low and Aspergillus was predominant genus. During   the later stages of storage, the prevalence of Aspergillus in maize   treated with essential oils was significantly lower than (p < 0.05) that   observed in the propionic acid treated and control samples. The results   of this study suggest that the complex essential oils may be employed   successfully to control toxigenic fungi and subsequent contamination   with mycotoxins in maize."
"ISI:000477037900082","2019","INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH","Major Differences in the Diversity of Mycobiomes Associated with Wheat   Processing and Domestic Environments: Significant Findings from   High-Throughput Sequencing of Fungal Barcode ITS1","mycobiome; bioaerosols; indoor; grain dust; rural; urban; farmers;   harvesters; terminal elevator operators; wheat BARLEY-GRAIN; DUST; ALTERNARIA; AIRBORNE; EXPOSURE; STORAGE ;","Occupational exposure to grain dust is associated with both acute and   chronic effects on the airways. However, the aetiology of these effects   is not completely understood, mainly due to the complexity and variety   of potentially causative agents to which workers are exposed during   cereals process. In this study, we characterized the mycobiome during   different steps of wheat processing-harvesting, grain unloading and   straw handling-and compared it to mycobiomes of domestic   environments-rural and urban. To do so, settled dust was collected at a   six month interval for six weeks in the close proximity of 142   participants, 74 occupationally exposed to wheat dust-freshly harvested   or stored-and 68 not occupationally exposed to it. Fungal community   composition was determined in those samples by high-throughput   sequencing of the primary fungal barcode marker internal transcribed   spacer 1 (ITS1). The comparison of different mycobiomes revealed that   fungal richness, as well as their composition, was much higher in the   domestic environment than at the workplace. Furthermore, we found that   the fungal community composition strongly differed between workplaces   where workers handled freshly harvested wheat and those where they   handled stored wheat. Indicator species for each exposed population were   identified. Our results emphasize the complexity of exposure of grain   workers and farmers and open new perspectives in the identification of   the etiological factors responsible for the respiratory pathologies   induced by wheat dust exposure."
"ISI:000471736900004","2019","FUNGAL GENETICS AND BIOLOGY","Breastmilk and NICU surfaces are potential sources of fungi for infant   mycobiomes","Mycobiome; Breastmilk; Newborn intensive care; Hospital surfaces; Fungi COMMENSAL FUNGI; ANTIBIOTICS; MICROBIOME ;","Surfaces within the neonatal intensive care unit (NICU), especially   those handled frequently by hospital staff, provide sources of   gut-colonizing bacteria for hospitalized infants, in addition to those   acquired perinatally from maternal sources such as breastmilk. In   comparison to bacteria, very little is known about potential sources of   colonizing fungi in the NICU setting. Thus, the objective of this study   was to characterize fungal communities (mycobiomes) of potential   colonization sources for neonates hospitalized in a large university   NICU. We hypothesized that the unit surfaces would contain different   mycobiomes than those of human-associated (breastmilk) sources. We   characterized mycobiomes of NICU surfaces of multiple individual patient   care areas as well as those of breastmilk samples by sequencing the   internal transcribed spacer region 2 (ITS2) of the fungal rDNA locus. We   found that, across all samples, Candida and Saccharomyces species were   the most prevalent taxa and had the greatest relative abundances.   Breastmilk samples had significantly higher fungal alpha-diversities   than NICU surface samples and fungal community compositions (beta   diversities) differed significantly between the two sample types.   Mycobiome compositions were predominantly driven by the relative   abundances of three fungal taxa: Candida albicans, Candida parapsilosis,   and Saccharomyces cerevisiae. In total, 21 individual fungal taxa showed   significantly greater relative abundances in breastmilk as compared to   NICU surfaces, with three being of particular interest to human health:   Candida glabrata, Candida tropicalis, and Cryptococcus neoformans. Since   no fungal DNA was detected when whole breastmilk was used as the DNA   template, as opposed to breastmilk subjected to cell lysis during the   DNA isolation procedure, our results indicate that DNA is from fungal   cells and is not cell-free DNA. In summary, both NICU surfaces and human   breastmilk harbor distinct fungal communities that could provide a   source of fungi for the developing infant gut mycobiota. In particular,   Candida and Saccharomyces species are abundant and prevalent for both of   these potential sources that infants are exposed to."
