"","year","journal","title","keywords","abstract"
"ISI:000495776200008","2019","AEROBIOLOGIA","Microbial composition in seasonal time series of free tropospheric air   and precipitation reveals community separation","Free troposphere; 16SrRNA; 18SrRNA; ITS; Precipitation; Aerobiology BIOLOGICAL ICE NUCLEATORS; AIRBORNE BACTERIAL COMMUNITIES; SP-NOV.;   CLOUD-WATER; AEROSOL-PARTICLES; FUNGAL DIVERSITY; PHYLOGENETIC   CLASSIFICATION; ATMOSPHERIC PROCESSES; EMENDED DESCRIPTION; GLOBAL   ATMOSPHERE ;","Primary biological aerosols are transported over large distances, are   traveling in various media such as dry air masses, clouds or fog, and   eventually deposited with dry deposition, especially for larger   particles, or precipitation like rain, hail or snow. To investigate   relative abundance and diversity of airborne bacterial and fungal   communities, samples have been collected with a liquid impinger   (Coriolis mu) from the top of Mount Sonnblick (3106 m asl, Austrian   Alps) from the respective sources under a temporal aspect over four   seasons over the year to include all climatic conditions. Bacterial and   fungal samples (16S rRNA and ITS) were sequenced using Illumina MiSeq   paired-end sequencing, investigated for relative abundance by qPCR(16S   rRNA and 18S rRNA) and ice nucleation activity. Results show that there   is no stable free tropospheric air microbial community and air mass   origin was different for the four sampling periods which exerted   influence on the microbial composition of the atmosphere although a core   microbiome could be identified consisting of 61 bacterial OTUs and eight   fungal genera. Differentiation between seasons was stronger pronounced   in air than in precipitation, with rain being most different and   variable of precipitation types, indicating distinct forces driving   microbial fate in the air. Microorganisms precipitated with snow, hail   or rain or being transported by clouds differ in their species   composition from free tropospheric air masses and do not mirror the air   community structure. They were more diverse, distinct in composition,   16S:18S ratio and abundance from free-floating PBA. Hence, snow or cloud   samples are not suitable proxies for free tropospheric air microbiome   composition, since separation processes in aerosolization, transport and   scavenging occur. The microbial composition of arriving precipitation or   clouds represents only a part of the microbial air composition   communities of the cumulative sources of origin. Relative abundance and   composition of ice nucleation-active bacteria showed a higher share of   relative \% reads of known ice nucleation-active bacteria present in all   wet phases compared to air. Results propose a separation of IN-active   reads with higher shares occurring in precipitation. This study presents   the first comparison of free tropospheric bacterial and fungal abundance   and diversity in time series of air over several seasons in contrast to   various precipitation forms in the free troposphere."
"ISI:000489694700025","2019","SCIENCE OF THE TOTAL ENVIRONMENT","Depth and location influence prokaryotic and eukaryotic microbial   community structure in New Zealand fjords","Fjord; 16S; 18S; Microbial community; Fiordland, microbiome BACTERIAL COMMUNITIES; SPATIAL VARIABILITY; SALINITY GRADIENT;   DIVERSITY; PHYTOPLANKTON; DYNAMICS; STRATIFICATION; MICROORGANISMS;   BIOGEOGRAPHY; PACKAGE ;","Systems with strong horizontal and vertical gradients, such as fjords,   are useful models for studying environmental forcing. Here we examine   microbial (prokaryotic and eukaryotic) community changes associated with   the surface low salinity layer (LSL) and underlying seawater in multiple   fjords in Fiordland National Park (New Zealand). High rainfall   (1200-8000 mm annually) and linked runoff from native forested   catchments results in surface LSLs with high tannin concentrations   within each fjord. These gradients are expected to drive changes in   microbial communities. We used amplicon sequencing (16S and 18S) to   assess the impact of these gradients on microbial communities and   identified depth linked changes in diversity and community structure.   With increasing depth, we observed significant increases in   Proteobacteria (15\%) and SAR (37\%), decreases in Opisthokonta (35\%),   and transiently increased Bacteroidetes (3\% increase from 0 to 40 m,   decreasing by 8\% at 200 m). Community structure differences were   observed along a transect from the head to the mouth, specifically 25\%   mean relative abundance decreases in Opisthokonta and Bacteroidetes, and   increases in SAR (25\%) and Proteobacteria (>5\%) at the surface,   indicating changes based on distance from the ocean. This provides the   first in-depth view into the ecological drivers of microbial communities   within New Zealand fjords. (C) 2019 Elsevier B.V. All rights reserved."
"ISI:000495519900025","2019","SOIL BIOLOGY \& BIOCHEMISTRY","Metatranscriptomics reveals climate change effects on the rhizosphere   microbiomes in European grassland","Elevated CO2; Extreme summer; Rhizosphere microbiome; Fungi;   Metatranscriptome ELEVATED CARBON-DIOXIDE; COMMUNITY STRUCTURE; ATMOSPHERIC CO2;   ENRICHMENT; TEMPERATURE; RESPONSES; DROUGHT; FUNGI; FACE; MICROORGANISMS ;","Although the fertilizing effect of elevated atmospheric CO2 on plant   growth is well established, its impact on the structure and activity of   below-ground biota remains elusive. Here, we used metatranscriptomics to   assess possible effects of moderately elevated CO2 (eCO(2)) on grassland   rhizosphere microbiomes at the Giessen free-air CO2 enrichment (GiFACE)   site in August of 2015 and 2017. Since its launch in 1998, the GiFACE   atmospheric CO2 concentration has been maintained at 20\% higher than   ambient air levels, thereby suggesting a realistic ecosystem response to   eCO(2). Metatranscriptomics revealed significant eCO(2) effects on the   composition and activity of the grassland microbiomes in 2015, but not   in 2017. The summer of 2015 was characterized by prolonged heat waves,   while the summer temperature in 2017 was close to the long-term average.   In August 2015, rRNA and mRNA abundances of Eukarya relative to Bacteria   were significantly decreased in eCO(2) plots, in both rhizosphere soil   and root-associated microbiomes. On SSU rRNA level, the significant   increase in bacterial abundance was primarily related to an enrichment   of Actinobacteria and Proteobacteria and, most pronounced, a decline in   Fungi. In addition, we observed an enrichment of Acidobacteria,   Bacteroidetes, Chlorofiexi, and Planctomycetes and, among Eukarya, a   decline in Amoebozoa, SAR group, and Metazoa. The decrease in soil   fungal activity was confirmed by RT-qPCR of 18S rRNA; in good agreement   with a significant decrease in fungal mRNA involved in oxidative   phosphorylation (rhizosphere soil), and in folding, sorting and   degradation (root-associated). Among Fungi, the relative abundance of   most groups (e.g., Agaricomycetes [soil) and Leotiomycetes [roots])   decreased, but that of the Glonteromycetes (both compartments)   increased. Functional analysis of root mRNA suggests that the production   of plant secondary metabolites was increased in the summer of 2015.   These may have acted as an effective combat strategy against   phytopathogenic fungi, such as Leotiomycetes. In conclusion, our   metatranscriptomic study suggests that a near-future level of eCO(2)   combined with prolonged heat waves may have a significant impact on the   interactome between rhizosphere microbiomes and plant roots in European   grassland; with a primary effect on fungal activity."
"ISI:000490946700009","2019","APPLIED AND ENVIRONMENTAL MICROBIOLOGY","Feedback Regulation between Aquatic Microorganisms and the Bloom-Forming   Cyanobacterium Microcystis aeruginosa","Microcystis aeruginosa; aquatic microcosm; 16S/18S rRNA gene sequencing;   metabolomics analyses; cocultures LAKE; DYNAMICS; NITROGEN; COMMUNITIES; METABOLITES; MICROBIOME;   PHOSPHORUS; TOXICITY; NUTRIENT; BACTERIA ;","The frequency and intensity of cyanobacterial blooms are increasing   worldwide. Interactions between toxic cyanobacteria and aquatic   microorganisms need to be critically evaluated to understand microbial   drivers and modulators of the blooms. In this study, we applied 16S/18S   rRNA gene sequencing and metabolomics analyses to measure the microbial   community composition and metabolic responses of the cyanobacterium   Microcystis aeruginosa in a coculture system receiving dissolved   inorganic nitrogen and phosphorus (DIP) close to representative   concentrations in Lake Taihu, China. M. aeruginosa secreted alkaline   phosphatase using a DIP source produced by moribund and decaying   microorganisms when the P source was insufficient. During this process,   M. aeruginosa accumulated several intermediates in energy metabolism   pathways to provide energy for sustained high growth rates and increased   intracellular sugars to enhance its competitive capacity and ability to   defend itself against microbial attack. It also produced a variety of   toxic substances, including microcystins, to inhibit metabolite   formation via energy metabolism pathways of aquatic microorganisms,   leading to a negative effect on bacterial and eukaryotic microbial   richness and diversity. Overall, compared with the monoculture system,   the growth of M. aeruginosa was accelerated in coculture, while the   growth of some cooccurring microorganisms was inhibited, with the   diversity and richness of eukaryotic microorganisms being more   negatively impacted than those of prokaryotic microorganisms. These   findings provide valuable information for clarifying how M. aeruginosa   can potentially modulate its associations with other microorganisms,   with ramifications for its dominance in aquatic ecosystems.   IMPORTANCE We measured the microbial community composition and metabolic   responses of Microcystis aeruginosa in a microcosm coculture system   receiving dissolved inorganic nitrogen and phosphorus (DIP) close to the   average concentrations in Lake Taihu. In the coculture system, DIP is   depleted and the growth and production of aquatic microorganisms can be   stressed by a lack of DIP availability. M. aeruginosa could accelerate   its growth via interactions with specific cooccurring microorganisms and   the accumulation of several intermediates in energy metabolism-related   pathways. Furthermore, M. aeruginosa can decrease the carbohydrate   metabolism of cooccurring aquatic microorganisms and thus disrupt   microbial activities in the coculture. This also had a negative effect   on bacterial and eukaryotic microbial richness and diversity.   Microcystin was capable of decreasing the biomass of total phytoplankton   in aquatic microcosms. Overall, compared to the monoculture, the growth   of total aquatic microorganisms is inhibited, with the diversity and   richness of eukaryotic microorganisms being more negatively impacted   than those of prokaryotic microorganisms. The only exception is M.   aeruginosa in the coculture system, whose growth was accelerated."
"ISI:000491876400001","2019","CHINESE MEDICINE","Variation in the microbial community contributes to the improvement of   the main active compounds of Magnolia officinalis Rehd. et Wils in the   process of sweating","Magnolia officinalis Rehd; et Wils; Sweating; Microbial communities;   High-throughput sequencing; High-performance liquid chromatography;   UPLC-Q-Extractive Orbitrap mass spectrometry STEM BARK; FUNGAL COMMUNITY; IN-VITRO; HONOKIOL; TERM; IDENTIFICATION;   FERMENTATION; ALKALOIDS; BACTERIAL; TOXICITY ;","Background Magnolia officinalis Rehd. et Wils, commonly called Houpo,   has been used for thousands of years in China as a traditional herbal   medicine. The primary processing of Houpo requires sweating treatment,   which is a special drying process and is considered to be an essential   embodiment of high quality and genuine medicinal materials. The sweating   of Houpo leads to peculiar changes in the microbial community structure   and the content of main active substances (magnolol, honokiol, syringin   and magnoflorine). Variation in the microbial community was considered   the cause of the change in content of active substances of Houpo,   although the microbial taxa responsible for the improvement of content   remain unidentified. Methods In this study, we used MiSeq   high-throughput sequencing methods for partial bacterial 16S rRNA and   18S rRNA gene sequences to compare the bacterial and fungal community   structures at different timepoints in the process of sweating. The   content of the main active substances (magnolol, honokiol, syringin and   magnoflorine) were determined by high-performance liquid chromatography   analysis to evaluate the effects of sweating. UPLC-Q-Extractive Orbitrap   mass spectrometry (UPLC-QE Orbitrap MS) was used to detection of   differential metabolites of unsweated Houpo before and after co-culture   with core bacterial solutions. Results In this study, the total contents   of magnolol (MG) and honokiol (HK) were significantly increased at 4 dp   (dp for day PM sample), up to 3.75\%, and the contents of syringin (SG)   and magnoflorine (MF) were as high as 0.12\% and 0.06\%, respectively.   Bacterial abundance and diversity were higher in the early stage (0   day-2 da; da for day AM sample) than in the later stage (4-5 dp), while   fungal abundance was more obvious in the later stage than in the early   stage. Positive correlation coefficients revealed that the relative   abundance of Enterobacter (P < 0.05), Klebsiella (P < 0.05), Weissella   (P < 0.05), Bacillus (P < 0.05) and Candida (P < 0.05) would be   conducive to improving the quality of Houpo. Negative correlation   coefficients revealed that the relative abundance of Actinomycetospora,   Singulisphaera, Mucilaginibacter, Deinococcus, Gemmatirosa,   Methylobacterium, Sphingomonas, Hymenobacter, Halomonas and   Capnobotryella could be a potential antagonist for the decrease in the   quality of Houpo. After co-culture of single core strain and unsweated   Houpo, there was no significant difference in the four main active   components, but there were other metabolites with significant   difference. Conclusions Our findings reveal that sweating increased the   content of the main active compounds, promoted the relative abundance of   potentially beneficial microbes, decreased the abundance of potentially   harmful microbes, the core functional genera group together, forming a   core microbiome, these genera are dominant across the different stages   of the sweating process and contribute to the quality development of the   characteristics of Houpo. Meanwhile, this study presented a clear scope   for potential beneficial microbes that improve the quality of Houpo."
"ISI:000490422000053","2019","SCIENTIFIC REPORTS","Bacterial, archaeal and micro-eukaryotic communities characterize a   disease-suppressive or conducive soil and a cultivar resistant or   susceptible to common scab"," RHIZOSPHERE MICROBIOME; TAXONOMIC MICROARRAY; POTATO; MAIZE;   POPULATIONS; DIVERSITY; SEQUENCES; STRATEGY; PATTERNS; PRIMERS ;","Control of common scab disease can be reached by resistant cultivars or   suppressive soils. Both mechanisms are likely to translate into   particular potato microbiome profiles, but the relative importance of   each is not known. Here, microbiomes of bulk and tuberosphere soil and   of potato periderm were studied in one resistant and one susceptible   cultivar grown in a conducive and a suppressive field. Disease severity   was suppressed similarly by both means yet, the copy numbers of txtB   gene (coding for a pathogenicity determinant) were similar in both soils   but higher in periderms of the susceptible cultivar from conducive soil.   Illumina sequencing of 16S rRNA genes for bacteria (completed by 16S   rRNA microarray approach) and archaea, and of 18S rRNA genes for   micro-eukarytes showed that in bacteria, the more important was the   effect of cultivar and diversity decreased from resistant cultivar to   bulk soil to susceptible cultivar. The major changes occurred in   proportions of Actinobacteria, Chloroflexi, and Proteobacteria. In   archaea and micro-eukaryotes, differences were primarily due to the   suppressive and conducive soil. The effect of soil suppressiveness x   cultivar resistance depended on the microbial community considered, but   differed also with respect to soil and plant nutrient contents   particularly in N, S and Fe."
"ISI:000489051700001","2019","ANNALS OF MICROBIOLOGY","A time travel story: metagenomic analyses decipher the unknown   geographical shift and the storage history of possibly smuggled antique   marble statues","Metagenomics; Microbiome; Cultural heritage objects; Geographical   shifts; Storing conditions SOLI SP NOV.; HUMI SP NOV.; GEN. NOV.; EMENDED DESCRIPTION; COMB.-NOV;   MODERATE HALOPHILE; CULTURAL-HERITAGE; GROWTH PROMOTION; SWINE MANURE;   BACTERIUM ;","In this study, three possibly smuggled marble statues of an unknown   origin, two human torsi (a female and a male) and a small head, were   subjected to molecular analyses. The aim was to reconstruct the history   of the storage of each single statue, to infer the possible relationship   among them, and to elucidate their geographical shift. A genetic   strategy, comprising metagenomic analyses of the 16S ribosomal DNA   (rDNA) of prokaryotes, 18S rDNA of eukaryotes, as well as internal   transcribed spacer regions of fungi, was performed by using the Ion   Torrent sequencing platform. Results suggest a possible common history   of storage of the two human torsi; their eukaryotic microbiomes showed   similarities comprising many soil-inhabiting organisms, which may   indicate storage or burial in land of agricultural soil. For the male   torso, it was possible to infer the geographical origin, due to the   presence of DNA traces of Taiwania, a tree found only in Asia. The small   head displayed differences concerning the eukaryotic community, compared   with the other two samples, but showed intriguing similarities with the   female torso concerning the bacterial community. Both displayed many   halotolerant and halophilic bacteria, which may indicate a longer stay   in arid and semi-arid surroundings as well as marine environments. The   microbiomes retrieved from each statue showed to be very specific, but   some individual members showed to be biological markers for the   geographical regions through which the pieces traveled and for the   conditions under which they were stored."
"ISI:000490987100010","2019","PLOS NEGLECTED TROPICAL DISEASES","Meta-taxonomic analysis of prokaryotic and eukaryotic gut flora in stool   samples from visceral leishmaniasis cases and endemic controls in Bihar   State India"," PENTATRICHOMONAS-HOMINIS; MOLECULAR CHARACTERIZATION; MICROBIOME;   COMMUNITIES; CONTRIBUTES; HELMINTHS; THERAPY; HUMANS ;","Author summary Visceral leishmaniasis (VL), also known as kala-azar, is   a potentially fatal disease caused by intracellular parasites of the   Leishmania donovani complex. VL is a serious public health problem in   rural India, causing high morbidity and mortality, as well as major   costs to local and national health budgets. People at risk of VL are   also at risk of other neglected tropical diseases (NTDs) including soil   transmitted helminths (worms). Intestinal worms are potent regulators of   host immune responses often mediated through cross-talk with gut   bacteria. Here we have used a modern DNA sequencing approach to   determine the composition of microbiota in stool samples from VL cases   and endemic controls. This allows us to determine all bacteria, as well   as all single-celled and multicellular organisms, that comprise the   microorganisms in the gut in a single sequencing experiment from a   single stool sample. In addition to providing valuable information   concerning commensal and pathogenic gut micro-organisms prevalent in   this region of India, we find some specific associations between   single-celled gut pathogens and VL case status.   Visceral leishmaniasis (VL) caused by Leishmania donovani remains of   public health concern in rural India. Those at risk of VL are also at   risk of other neglected tropical diseases (NTDs) including soil   transmitted helminths. Intestinal helminths are potent regulators of   host immune responses sometimes mediated through cross-talk with gut   microbiota. We evaluate a meta-taxonomic approach to determine the   composition of prokaryotic and eukaryotic gut microflora using   amplicon-based sequencing of 16S ribosomal RNA (16S rRNA) and 18S rRNA   gene regions. The most abundant bacterial taxa identified in faecal   samples from Bihar State India were Prevotella (37.1\%),   Faecalibacterium (11.3\%), Escherichia-Shigella (9.1\%), Alloprevotella   (4.5\%), Bacteroides (4.1\%), Ruminococcaceae UCG-002 (1.6\%), and   Bifidobacterium (1.5\%). Eukaryotic taxa identified (excluding plant   genera) included Blastocystis (57.9\%; Order: Stramenopiles),   Dientamoeba (12.1\%; Family: Tritrichomonadea), Pentatrichomonas   (10.1\%; Family: Trichomonodea), Entamoeba (3.5\%; Family: Entamoebida),   Ascaridida (0.8\%; Family: Chromodorea; concordant with Ascaris by   microscopy), Rhabditida (0.8\%; Family: Chromodorea; concordant with   Strongyloides), and Cyclophyllidea (0.2\%; Order: Eucestoda; concordant   with Hymenolepis). Overall alpha (Shannon's, Faith's and Pielou's   indices) and beta (Bray-Curtis dissimilarity statistic; weighted UniFrac   distances) diversity of taxa did not differ significantly by age, sex,   geographic subdistrict, or VL case (N = 23) versus endemic control (EC;   N = 23) status. However, taxon-specific associations occurred: (i)   Ruminococcaceae UCG- 014 and Gastranaerophilales\_uncultured bacterium   were enriched in EC compared to VL cases; (ii) Pentatrichomonas was more   abundant in VL cases than in EC, whereas the reverse occurred for   Entamoeba. Across the cohort, high Escherichia-Shigella was associated   with reduced bacterial diversity, while high Blastocystis was associated   with high bacterial diversity and low Escherichia-Shigella. Individuals   with high Blastocystis had low Bacteroidaceae and high Clostridiales   vadin BB60 whereas the reverse held true for low Blastocystis. This   scoping study provides useful baseline data upon which to develop a   broader analysis of pathogenic enteric microflora and their influence on   gut microbial health and NTDs generally."
"ISI:000482190000001","2019","FRONTIERS IN MICROBIOLOGY","Root-Associated Microbial Communities of Abies nordmanniana: Insights   Into Interactions of Microbial Communities With Antioxidative Enzymes   and Plant Growth","Abies nordmanniana; antioxidative enzymes; plant growth; root-associated   microbial communities; Rhizobiales; Agaricales; Fusarium SPRUCE PICEA-ABIES; FUSARIUM-OXYSPORUM; BACTERIAL COMMUNITIES; OXIDATIVE   STRESS; ECTOMYCORRHIZAL COMMUNITIES; PROMOTING RHIZOBACTERIA; ASCORBATE   PEROXIDASE; SUPEROXIDE-DISMUTASE; MOLECULAR ANALYSIS; MYCORRHIZAL FUNGI ;","Abies nordmanniana is a major Christmas tree species in Europe, but   their uneven and prolonged growth slows down their production. By a 16S   and 18S rRNA gene amplicon sequencing approach, we performed a   characterization of root-associated bacterial and fungal communities for   three-year-old A. nordmanniana plants collected from two nurseries in   Denmark and Germany and displaying different growth patterns (small   versus tall plants). Proteobacteria had the highest relative abundance   at both sampling sites and plant sizes, and Ascomycota was the most   abundant fungal phylum. At the order level, Acidobacteriales,   Actinomycetales, Burkholderiales, Rhizobiales, and Xanthomonadales   represented the bacterial core microbiome of A. nordmanniana,   independently of the sampling site or plant size, while the fungal core   microbiome included members of the Agaricales, Hypocreales, and   Pezizales. Principal Coordinate Analysis indicated that both bacterial   and fungal communities clustered according to the sampling site pointing   to the significance of soil characteristics and climatic conditions for   the composition of root-associated microbial communities. Major   differences between communities from tall and small plants were a   dominance of the potential pathogen Fusarium (Hypocreales) in the small   plants from Germany, while Agaricales, that includes reported beneficial   ectomycorrhizal fungi, dominated in the tall plants. An evaluation of   plant root antioxidative enzyme profiles showed higher levels of the   antioxidative enzymes ascorbate peroxidase, peroxidase, and superoxide   dismutase in small plants compared to tall plants. We suggest that the   higher antioxidative enzyme activities combined with the growth arrest   phenotype indicate higher oxidative stress levels in the small plants.   Additionally, the correlations between the relative abundances of   specific taxa of the microbiome with the plant antioxidative enzyme   profiles were established. The main result was that many more bacterial   taxa correlated positively than negatively with one or more   antioxidative enzyme activity. This may suggest that the ability of   bacteria to increase plant antioxidative enzyme defenses is widespread."
"ISI:000472126200048","2019","WATER RESEARCH","The cooling tower water microbiota: Seasonal dynamics and co-occurrence   of bacterial and protist phylotypes","Microbial diversity; Legionella; Mycobacteria; Chlamydia; Protists;   Free-living amoeba; Built environment; HVAC cooling tower FREE-LIVING AMEBAS; DRINKING-WATER; DISTRIBUTION-SYSTEM; BIOFILM   FORMATION; LEGIONELLA-PNEUMOPHILA; VIBRIO-CHOLERAE; BACTERIOPLANKTON   COMMUNITIES; NONTUBERCULOUS MYCOBACTERIA; ACANTHAMOEBA-CASTELLANII;   PYROSEQUENCING ANALYSIS ;","Cooling towers for heating, ventilation and air conditioning are   ubiquitous in the built environment. Often located on rooftops, their   semi-open water basins provide a suitable environment for microbial   growth. They are recognized as a potential source of bacterial pathogens   and have been associated with disease outbreaks such as Legionnaires'   disease. While measures to minimize public health risks are in place,   the general microbial and protist community structure and dynamics in   these systems remain largely elusive. In this study, we analysed the   microbiome of the bulk water from the basins of three cooling towers by   16S and 18S rRNA gene amplicon sequencing over the course of one year.   Bacterial diversity in all three towers was broadly comparable to other   freshwater systems, yet less diverse than natural environments; the most   abundant taxa are also frequently found in freshwater or drinking water.   While each cooling tower had a pronounced site-specific microbial   community, taxa shared among all locations mainly included groups   generally associated with biofilm formation. We also detected several   groups related to known opportunistic pathogens, such as Legionella,   Mycobacterium, and Pseudomonas species, albeit at generally low   abundance. Although cooling towers represent a rather stable   environment, microbial community composition was highly dynamic and   subject to seasonal change. Protists are important members of the   cooling tower water microbiome and known reservoirs for bacterial   pathogens. Co-occurrence analysis of bacteria and protist taxa   successfully captured known interactions between amoeba-associated   bacteria and their hosts, and predicted a large number of additional   relationships involving ciliates and other protists. Together, this   study provides an unbiased and comprehensive overview of microbial   diversity of cooling tower water basins, establishing a framework for   investigating and assessing public health risks associated with these   man-made freshwater environments. (C) 2019 The Authors. Published by   Elsevier Ltd."
